address,propertyType,bedrooms,transactions,lat,lon,detailsUrl
"62, Eastside Mews, London, Greater London E3 2GU",FLAT,,"[{'displayPrice': '£530,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£500,000', 'dateSold': '29 Jan 2016', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£369,000', 'dateSold': '21 May 2014', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£355,000', 'dateSold': '26 Oct 2007', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.53079,-0.02431,https://www.rightmove.co.uk/house-prices/details/england-21651376?s=7684c66c2544e9c4d1fe90fc0083ed463f4d587a16366861c18c9d7418f1111c
"Flat 4, Ambassadors Court, 9, Holly Street, London, Greater London E8 3XT",FLAT,,"[{'displayPrice': '£510,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£405,000', 'dateSold': '23 Apr 2021', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£271,000', 'dateSold': '14 Nov 2007', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£197,500', 'dateSold': '5 Sep 2005', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£152,500', 'dateSold': '27 Jul 2001', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£125,000', 'dateSold': '4 Feb 2000', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.54085,-0.07204,https://www.rightmove.co.uk/house-prices/details/england-21652339?s=40b91aa2028721c12f75eab7c2b6e819c5d506657ee005277e3f07ed57b6417c
"Flat B, 143, Battersea Rise, London, Greater London SW11 1HE",FLAT,,"[{'displayPrice': '£712,500', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£657,000', 'dateSold': '28 Jul 2011', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£260,000', 'dateSold': '31 May 2001', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£265,000', 'dateSold': '22 Sep 2000', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£190,000', 'dateSold': '2 Apr 1998', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£170,000', 'dateSold': '15 May 1997', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.4603,-0.1693,https://www.rightmove.co.uk/house-prices/details/england-21808456?s=8f7787c31a565cf94dfdd32be32da54464d75fae1bdeca4a38cc3654d21e3cb4
"40, Kynaston Road, Enfield, Greater London EN2 0DB",TERRACED,4,"[{'displayPrice': '£675,000', 'dateSold': '25 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£355,000', 'dateSold': '17 Aug 2010', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£271,500', 'dateSold': '15 Nov 2005', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.66285,-0.08118,https://www.rightmove.co.uk/house-prices/details/england-145814942-21653110?s=b566207070189ca3a7650f73ef2d5150019df9b76aa285028e5565789d4645b0
"124, Meadowview Road, London, Greater London SE6 3NQ",SEMI_DETACHED,2,"[{'displayPrice': '£330,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£310,000', 'dateSold': '26 Aug 2022', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£75,000', 'dateSold': '25 Feb 2013', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£104,000', 'dateSold': '19 Oct 2006', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£94,000', 'dateSold': '12 Jul 2006', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.4252,-0.02873,https://www.rightmove.co.uk/house-prices/details/england-53378227-21785758?s=6420914fd225f947b7a2e64765ac740fcf8a6dc9bc7e4d788c9c466b62802f9d
"Flat 26, Pegasus Court, 194, Horn Lane, London, Greater London W3 6PT",FLAT,,"[{'displayPrice': '£160,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£199,950', 'dateSold': '20 Apr 2007', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.51602,-0.26767,https://www.rightmove.co.uk/house-prices/details/england-21832555?s=98f9833776d06bf9c2dbe0e1c27a3746295d89cbc9af59b897555706f58e101b
"124, Meadowview Road, London, Greater London SE6 3NQ",SEMI_DETACHED,2,"[{'displayPrice': '£330,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£310,000', 'dateSold': '26 Aug 2022', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£75,000', 'dateSold': '25 Feb 2013', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£104,000', 'dateSold': '19 Oct 2006', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£94,000', 'dateSold': '12 Jul 2006', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.4252,-0.02873,https://www.rightmove.co.uk/house-prices/details/england-53378227-21785758?s=6420914fd225f947b7a2e64765ac740fcf8a6dc9bc7e4d788c9c466b62802f9d
"26, Risborough Close, London, Greater London N10 3PL",FLAT,,"[{'displayPrice': '£400,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£78,000', 'dateSold': '15 Aug 2001', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£55,000', 'dateSold': '27 Nov 1998', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.59006,-0.14027,https://www.rightmove.co.uk/house-prices/details/england-21715336?s=22d30cd98d7814431b147070539231cd5a119844c4b4bc3992a45a845f196223
"Flat 1, 300, Sandycombe Road, Richmond, Greater London TW9 3NG",FLAT,,"[{'displayPrice': '£172,269', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£530,000', 'dateSold': '20 May 2021', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.4762,-0.28703,https://www.rightmove.co.uk/house-prices/details/england-21829969?s=93fe80d8161632485b1003f3c0201c37a78c2e65690e2e826c0e4289af4ee32b
"Flat 37, Curtiss House, 27, Heritage Avenue, London, Greater London NW9 5WT",FLAT,,"[{'displayPrice': '£265,000', 'dateSold': '25 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£220,000', 'dateSold': '19 Sep 2011', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.59532,-0.24242,https://www.rightmove.co.uk/house-prices/details/england-21742321?s=48c80f9de90d0a21e58b8f98a57cd2954b2c817a87c6f928a0f507dc15cbf320
